"date","mmwr_week","location","distributed","distributed_janssen","distributed_moderna","distributed_pfizer","distributed_unk_manuf","dist_per_100k","distributed_per_100k_12plus","distributed_per_100k_18plus","distributed_per_100k_65plus","administered","administered_12plus","administered_18plus","administered_65plus","administered_janssen","administered_moderna","administered_pfizer","administered_unk_manuf","admin_per_100k","admin_per_100k_12plus","admin_per_100k_18plus","admin_per_100k_65plus","recip_administered","administered_dose1_recip","administered_dose1_pop_pct","administered_dose1_recip_1","administered_dose1_recip_2","administered_dose1_recip_3","administered_dose1_recip_4","administered_dose1_recip_5","administered_dose1_recip_6","series_complete_yes","series_complete_pop_pct","series_complete_12plus","series_complete_12pluspop","series_complete_18plus","series_complete_18pluspop","series_complete_65plus","series_complete_65pluspop","series_complete_janssen","series_complete_moderna","series_complete_pfizer","series_complete_unk_manuf","series_complete_janssen_12plus","series_complete_moderna_12plus","series_complete_pfizer_12plus","series_complete_unk_manuf_1","series_complete_janssen_18plus","series_complete_moderna_18plus","series_complete_pfizer_18plus","series_complete_unk_manuf_2","series_complete_janssen_65plus","series_complete_moderna_65plus","series_complete_pfizer_65plus","series_complete_unk_manuf_3","additional_doses","additional_doses_vax_pct","additional_doses_18plus","additional_doses_18plus_vax_pct","additional_doses_50plus","additional_doses_50plus_vax_pct","additional_doses_65plus","additional_doses_65plus_vax_pct","additional_doses_moderna","additional_doses_pfizer","additional_doses_janssen","additional_doses_unk_manuf"
"2021-11-04T00:00:00.000","44","WV","3224325","136800","1287300","1773825","26400","179914","206974","225071","878536","1592582","1591619","1518530","570596","42280","706941","842942","419","88864","102169","106000","155471","1620607","879688","49.1","879054","56.4","835849","58.3","296903","80.9","736026","41.1","735723","47.2","704254","49.2","263443","71.8","44383","319806","371575","262","44369","319717","371375","262","44314","319503","340199","238","6860","133988","122486","109","46427","6.3","46381","6.6","37867","8.4","26664","10.1","10494","35826","96","11"
"2021-11-04T00:00:00.000","44","RI","1886925","79800","739380","1048545","19200","178119","203444","220728","1008800","1589882","1589746","1487004","427927","56083","593990","938802","1007","150079","171403","173946","228782","1633369","832812","78.6","832669","89.8","776665","90.9","196981","99.9","753884","71.2","753832","81.3","703903","82.3","179530","96","55054","271011","427576","243","55053","271006","427531","242","55032","270918","377712","241","6347","81077","92019","87","94436","12.5","94302","13.4","80457","21.4","60822","33.9","29120","64677","637","2"
"2021-11-04T00:00:00.000","44","UT","4509380","206300","1647480","2603700","51900","140656","173956","198234","1232500","3750315","3749309","3400158","762700","153202","1344333","2252298","482","116980","144635","149472","208461","3717024","1970193","61.5","1969496","76","1783490","78.4","354660","96.9","1729045","53.9","1728708","66.7","1569961","69","316861","86.6","150300","602768","975940","37","150265","602734","975672","37","150125","602380","817425","31","15828","134437","166593","3","151405","8.8","150994","9.6","121121","18.3","93907","29.6","23535","127184","559","127"
"2021-11-04T00:00:00.000","44","TX","45584605","2240100","17474620","25380285","489600","157211","189139","211078","1220720","34907099","34898309","32099674","7423781","1297508","13136048","20470942","2601","120386","144800","148637","198804","34035952","17861834","61.6","17855070","74.1","16362526","75.8","3392301","90.8","15532524","53.6","15530301","64.4","14308779","66.3","3059540","81.9","1196774","5654288","8681177","285","1196502","5653763","8679752","284","1195355","5650371","7462786","267","166518","1457380","1435539","103","1678197","10.8","1674464","11.7","1303935","19.3","871616","28.5","631912","1034853","11371","61"
"2021-11-04T00:00:00.000","44","SC","7830205","384500","3281900","4060605","103200","152081","177155","193935","835647","5786565","5778656","5472762","1879380","191597","2218268","3375018","1682","112389","130740","135547","200569","5771662","2980457","57.9","2975503","67.3","2808115","69.6","886738","94.6","2585008","50.2","2582147","58.4","2441177","60.5","779576","83.2","185565","956940","1442202","301","185521","956854","1439472","300","184976","954944","1300959","298","29291","331319","418785","181","333832","12.9","333503","13.7","290333","19.9","230538","29.6","86342","244188","3122","180"
"2021-11-04T00:00:00.000","44","IN","9352340","503600","3494340","5226000","128400","138919","163931","181098","861377","7308293","7307794","6885420","2200353","265944","2652080","4364667","25602","108557","128094","133329","202659","7286848","3631010","53.9","3630604","63.6","3407854","66","960683","88.5","3364015","50","3363854","59","3170536","61.4","920651","84.8","259237","1196056","1901183","7539","259216","1196041","1901058","7539","258980","1195753","1708348","7455","29405","451095","436474","3677","422410","12.6","421882","13.3","364032","20.2","281524","30.6","112789","306122","3243","256"
"2021-11-04T00:00:00.000","44","AK","1205905","76200","467980","629625","32100","164844","198054","218635","1316660","879619","877366","817864","179318","36716","338584","503649","670","120241","144096","148281","195788","875770","436276","59.6","434918","71.4","403445","73.1","81848","89.4","386038","52.8","385165","63.3","358125","64.9","75475","82.4","34180","145539","206244","75","34178","145535","205377","75","34043","145149","178863","70","3243","41682","30519","31","59695","15.5","59494","16.6","42729","25.2","26290","34.8","18584","40854","250","7"
"2021-11-04T00:00:00.000","44","IH2","2292175","92900","1081820","1080255","37200","110052","0","0","0","1746652","1746009","1600156","320472","34180","848968","863365","139","83860","0","0","0","1746652","933744","44.8","933311","0","853105","0","161503","0","773034","37.1","772848","0","707427","0","133330","0","33926","370000","369102","6","33905","369925","369012","6","33867","369693","303861","6","3188","74832","55309","1","65179","8.4","65034","9.2","47085","13.6","25713","19.3","17133","47812","123","111"
"2021-11-04T00:00:00.000","44","HI","2650720","108500","987740","1510980","43500","187215","218867","237519","987424","1993460","1988845","1866384","556827","52713","637946","1208771","94030","140794","164217","167238","207425","2016392","1120563","79.1","1116740","92.2","1042355","93.4","286744","99.9","849052","60","847531","70","798203","71.5","235242","87.6","53257","272894","504762","18139","53221","272843","503339","18128","53092","272285","454704","18122","10205","96803","126817","1417","82523","9.7","82397","10.3","65482","15","48180","20.5","13425","68796","301","1"
"2021-11-04T00:00:00.000","44","NY","32818565","1560300","12323600","18714465","220200","168702","195660","212759","995665","27838699","27835962","26061098","6422772","1186960","10163006","16477894","10839","143103","165955","168951","194857","27812964","14527240","74.7","14525268","86.6","13579795","88","3148555","95.5","13025675","67","13024833","77.7","12193230","79","2824410","85.7","1125946","4616069","7280860","2800","1125801","4615871","7280375","2786","1125132","4614086","6451399","2613","175713","1333594","1313918","1185","867282","6.7","866226","7.1","722035","11.9","516688","18.3","234654","626570","6035","23"
"2021-11-04T00:00:00.000","44","RP","33090","3800","22900","6390","0","184788","216388","237255","1090640","31931","31931","29292","3714","2333","24906","4692","0","178316","208809","210024","122413","32205","18014","99.9","18014","99.9","16663","99.9","1790","59","15715","87.8","15715","99.9","14422","99.9","1714","56.5","2338","11621","1756","0","2338","11621","1756","0","2338","11621","463","0","227","1467","20","0","804","5.1","804","5.6","705","12.7","489","28.5","798","6","0","0"
"2021-11-04T00:00:00.000","44","VA2","6936990","568100","3282040","3086850","0","0","0","0","0","6092648","6092478","6089589","3225573","222024","3019709","2850516","399","0","0","0","0","6092648","3110369","0","3110268","0","3108645","0","1562477","0","2865657","0","2865583","0","2864296","0","1471376","0","220243","1407670","1237730","14","220236","1407648","1237685","14","220203","1407610","1236469","14","72672","804049","594653","2","329083","11.5","329078","11.5","317792","14","261071","17.7","91406","236642","1013","22"
"2021-11-04T00:00:00.000","44","AS","71820","600","20700","50520","0","151545","151019","165579","761128","66045","66026","54684","5553","546","18088","47410","1","139359","138836","126073","58849","66321","35263","74.4","35251","74.1","29229","67.4","2908","30.8","31042","65.5","31035","65.3","25751","59.4","2656","28.1","555","8358","22129","0","555","8357","22123","0","554","8342","16855","0","25","1123","1508","0","317","1","313","1.2","185","1.9","85","3.2","77","240","0","0"
"2021-11-04T00:00:00.000","44","CA","64564425","3112400","24243980","36663345","544700","163404","191892","210874","1105910","54856323","54725456","50684085","12268658","1957816","20565061","32318782","14664","138834","162649","165539","210148","54913833","29600696","74.9","29519124","87.7","27299267","89.2","6091619","99.9","24321573","61.6","24272517","72.1","22448252","73.3","4864676","83.3","1925798","8777197","13614379","4199","1925425","8776763","13566139","4190","1918216","8751690","11774432","3914","190757","2439964","2232650","1305","2539744","10.4","2536873","11.3","1972792","18.6","1400936","28.8","796831","1720065","22613","235"
