,fips,county,state,vaccinated
640,13197,Marion County,GA,17.1
641,72091,Manati Municipio,PR,71.1
642,20115,Marion County,KS,43.6
643,29063,DeKalb County,MO,25.5
645,47053,Gibson County,TN,39.9
646,45091,York County,SC,42.0
647,20119,Meade County,KS,35.6
648,31159,Seward County,NE,45.5
649,18159,Tipton County,IN,41.7
650,46027,Clay County,SD,59.6
651,48003,Andrews County,TX,39.4
652,08105,Rio Grande County,CO,55.7
653,55059,Kenosha County,WI,52.8
654,38005,Benson County,ND,46.0
655,46121,Todd County,SD,47.5
656,20133,Neosho County,KS,23.9
657,12083,Marion County,FL,51.6
658,29175,Randolph County,MO,33.3
659,23005,Cumberland County,ME,77.5
660,48027,Bell County,TX,52.1
661,40009,Beckham County,OK,37.2
662,46109,Roberts County,SD,60.5
663,49021,Iron County,UT,38.4
664,27159,Wadena County,MN,43.3
665,30037,Golden Valley County,MT,40.3
666,28067,Jones County,MS,38.1
667,37153,Richmond County,NC,42.3
668,19171,Tama County,IA,56.6
669,37187,Washington County,NC,43.7
670,37047,Columbus County,NC,39.1
671,21067,Fayette County,KY,64.9
672,37117,Martin County,NC,47.2
673,38035,Grand Forks County,ND,50.1
674,31129,Nuckolls County,NE,45.8
675,28107,Panola County,MS,41.4
676,38029,Emmons County,ND,30.9
677,46089,McPherson County,SD,12.5
678,22045,Iberia Parish,LA,41.3
679,37071,Gaston County,NC,44.0
680,39015,Brown County,OH,36.5
681,12093,Okeechobee County,FL,42.1
682,06095,Solano County,CA,57.5
683,48483,Wheeler County,TX,36.6
685,01025,Clarke County,AL,45.8
686,27127,Redwood County,MN,47.0
687,05123,St. Francis County,AR,44.6
688,20009,Barton County,KS,38.6
689,51075,Goochland County,VA,61.6
690,31003,Antelope County,NE,34.4
691,06065,Riverside County,CA,50.6
692,21047,Christian County,KY,30.6
693,46031,Corson County,SD,31.5
694,13151,Henry County,GA,21.4
695,20127,Morris County,KS,50.5
696,56003,Big Horn County,WY,32.8
697,46065,Hughes County,SD,62.6
698,13055,Chattooga County,GA,14.7
699,29089,Howard County,MO,39.3
700,39071,Highland County,OH,33.6
701,27075,Lake County,MN,59.9
702,22053,Jefferson Davis Parish,LA,33.0
703,55081,Monroe County,WI,47.2
704,51071,Giles County,VA,41.4
705,48105,Crockett County,TX,40.5
706,27081,Lincoln County,MN,44.1
707,51061,Fauquier County,VA,53.9
708,48361,Orange County,TX,32.8
709,06019,Fresno County,CA,51.8
710,16039,Elmore County,ID,38.1
711,29051,Cole County,MO,48.2
712,45075,Orangeburg County,SC,49.2
713,13133,Greene County,GA,40.3
714,29143,New Madrid County,MO,30.1
715,18059,Hancock County,IN,61.8
716,48385,Real County,TX,45.4
717,17037,DeKalb County,IL,44.4
718,51630,Fredericksburg city,VA,37.9
719,13221,Oglethorpe County,GA,26.7
721,19041,Clay County,IA,47.7
722,40095,Marshall County,OK,39.6
723,46127,Union County,SD,45.1
724,33007,Coos County,NH,57.0
725,41015,Curry County,OR,50.4
726,48239,Jackson County,TX,39.9
727,31089,Holt County,NE,38.1
728,37159,Rowan County,NC,39.0
729,08035,Douglas County,CO,64.7
730,55021,Columbia County,WI,60.1
731,21229,Washington County,KY,49.3
732,13017,Ben Hill County,GA,13.9
733,29127,Marion County,MO,38.1
735,40111,Okmulgee County,OK,38.3
736,53003,Asotin County,WA,37.6
737,19131,Mitchell County,IA,44.9
738,08059,Jefferson County,CO,69.5
739,28015,Carroll County,MS,37.2
740,48179,Gray County,TX,35.6
741,21045,Casey County,KY,32.3
742,20117,Marshall County,KS,57.2
743,48233,Hutchinson County,TX,31.0
744,21129,Lee County,KY,44.9
745,25003,Berkshire County,MA,50.6
746,01039,Covington County,AL,34.3
747,06029,Kern County,CA,44.2
748,31105,Kimball County,NE,32.0
749,29007,Audrain County,MO,33.4
750,51173,Smyth County,VA,43.7
751,38077,Richland County,ND,46.2
752,32003,Clark County,NV,49.5
753,22081,Red River Parish,LA,32.6
